Identifier,Index,Title,Description,DimensionGroupId
H008559,47,Bosnië-Herzegovina,"Nieuw land ontstaan uit de opsplitsing van Joegoslavië in 1992. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",3
H008560,48,Botswana,"Botswana, Bechuanaland.",5
H008562,49,Brazilië,,6
H008564,50,Brits Territorium in de Indische Oceaan,,5
H008565,51,Britse Maagdeneilanden,,6
H008566,52,Brunei,,7
H008567,53,Bulgarije,,3
H008568,54,Burkina Faso,"Burkina Faso, Bovenvolta.",5
H008569,55,Burundi,"Burundi, Duits Oost-Afrika, Urundi, Ruanda-Urundi.",5
H008570,56,Cambodja,,7
H008571,57,Canada,"Canada, Newfoundland.",6
H008794,58,Caribisch Nederland,"Nieuw land ontstaan na de ontbinding van de Nederlandse Antillen per 10 oktober 2010. 
Caribisch Nederland bestaat uit de openbare lichamen Bonaire, Sint Eustatius en Saba. Zij hebben een diepe band met Nederland en functioneren als bijzondere gemeente van Nederland. 
Voor de statistieken die het CBS over Nederland maakt wordt Caribisch Nederland als afzonderlijk land onderscheiden. In de registers die het CBS gebruikt wordt Caribisch Nederland pas sinds de ontbinding apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de ontbinding zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de ontbinding zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot dit herkomstland gerekend als hun geboorteplaats op een van deze eilanden ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de ontbinding zijn geboren worden tot dit herkomstlandgerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de ontbinding zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot dit herkomstland gerekend als hun geboorteplaats op een van deze eilanden ligt.",6
H008572,59,Caymaneilanden,,6
H008573,60,Centraal-Afrikaanse Republiek,,5
H008574,61,Chili,,6
H008575,62,China,"China, Tibet.",7
H008579,63,Colombia,,6
H008580,64,Comoren,,5
H008581,65,Congo,"Frans-Congo, Congo, Congo Brazaville.",5
H008582,66,Congo (Democratische Republiek),"Belgisch-Congo, Democratische Republiek Congo, Congo-Kinshasa, Zaïre.",5
H008583,67,Cookeilanden,,6
H008584,68,Costa Rica,,6
H008585,69,Cuba,,6
H008586,70,Curaçao,"Nieuw land ontstaan na de ontbinding van de Nederlandse Antillen per 10 oktober 2010. Sinds die datum is Curaçao een nieuw land binnen het Koninkrijk der Nederlanden. Met een ""Status aparte' binnen het Koninkrijk is Curaçao een autonoom land. Curaçao heeft een zelfstandig bestuur en is niet meer afhankelijk van Nederland. 
In de registers die het CBS gebruikt wordt Curaçao pas sinds de ontbinding apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de ontbinding zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de ontbinding zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot dit herkomstland gerekend als hun geboorteplaats op dat eiland ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de ontbinding zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de ontbinding zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Nederlandse Antillen tot dit herkomstland gerekend als hun geboorteplaats op dat eiland ligt.",6
H008587,71,Cyprus,,3
H008588,72,Denemarken,,3
H008589,73,Djibouti,"Djibouti, Frans-Somaliland, Frans Territ. Afars en Issa's.",5
H008590,74,Dominica,,6
H008591,75,Dominicaanse Republiek,,6
H008592,76,Duitsland,"Bondsrepubliek Duitsland, Duitse Democratische Republiek, Duitsland (oud), Saarland.",3
H008593,77,Ecuador,,6
H008594,78,Egypte,"Egypte, Verenigde Arabische Republiek.",5
H008595,79,El Salvador,,6
H008596,80,Equatoriaal-Guinea,"Equatoriaal-Guinea, Spaans-Guinee.",5
H008597,81,Eritrea,,5
H008598,82,Estland,"Onafhankelijk land van 1918-1940, viel na de Tweede Wereldoorlog tot 1991 onder de Sovjet-Unie en werd in 1991, na de opsplitsing van de Sovjet-Unie, opnieuw onafhankelijk. 
In de registers die het CBS gebruikt wordt dit land alleen tijdens de onafhankelijkheid (1918-1940 en sinds 1991) apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die tijdens de onafhankelijkheid zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die tijdens de onafhankelijkheid zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die die tijdens de onafhankelijkheid zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die tijdens de onafhankelijkheid zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",3
H008830,83,Eswatini,"Nieuw land ontstaan na de naamswijziging van Swaziland per 19 april 2018. 
Eswatini, Swaziland.",5
H008599,84,Ethiopië,"Ethiopië, Abessinië.",5
H008600,85,Faeröer-eilanden,,3
H008601,86,Falklandeilanden,,6
H007071,87,Federale Republiek Joegoslavië,"Nieuw land ontstaan uit de opsplitsing van Joegoslavië in 1991/'92 en opgehouden te bestaan na de naamswijziging in 2003. 
Nieuwe naam: Servië en Montenegro. 
In de registers die het CBS gebruikt wordt dit land pas sinds de opsplitsing en tot de naamswijziging apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing en tot de naamswijziging zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing en tot de naamswijziging zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden deze personen gerekend tot het herkomstland dat correspondeert met het land waar hun geboorteplaats volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de opsplitsing en tot de naamswijziging zijn geboren worden tot dit herkomstlandgerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing en tot de naamswijziging zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden deze personen gerekend tot het herkomstland dat correspondeert met het land waar hun geboorteplaats volgens de huidige landgrenzen ligt.",3
H008602,88,Fiji,,6
H008603,89,Filippijnen,,7
H008604,90,Finland,,3
H008605,91,Frankrijk,,3
H008606,92,Frans-Guyana,,6
H008608,93,Frans-Polynesië,,6
H008609,94,Gabon,,5
H008610,95,Gambia,,5
H008828,96,Gazastrook en Westelijke Jordaanoever,"Gazastrook en Westelijke Jordaanoever met inbegrip van Oost-Jeruzalem. 
In de registers die het CBS gebruikt wordt dit gebied vanaf juli 2019 apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Vanaf 2021: In de definitieve cijfers worden personen die in het voormalige Palestina of in Israël zijn geboren tot dit herkomstland gerekend als hun geboorteplaats daar ligt. 
Voor bevolkingsontwikkeling geldt: 
Vanaf 2020: In de definitieve cijfers worden personen die in het voormalige Palestina of in Israël zijn geboren tot dit herkomstland gerekend als hun geboorteplaats daar ligt.",7
H008611,97,Georgië,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",7
H008612,98,Ghana,"Ghana, Goudkust.",5
H008613,99,Gibraltar,,3
H008614,100,Grenada,,6
H008615,101,Griekenland,,3
H008616,102,Groenland,,6
H008617,103,Guadeloupe,,6
H008618,104,Guam,,6
H008619,105,Guatemala,,6
H008621,106,Guinee,,5
H008622,107,Guinee-Bissau,"Guinee-Bissau, Portugees-Guinee.",5
H008623,108,Guyana,"Guyana, Brits-Guyana.",6
H008624,109,Haïti,,6
H008626,110,Honduras,,6
H008627,111,Hongarije,,3
H008628,112,Hongkong,,7
H008629,113,Ierland,,3
H008630,114,IJsland,,3
H008631,115,India,"India, Brits-Indië, Frans-Indië, Goa, Kashmir, Portugees-Indië, Sikkim.",7
H008633,116,Irak,,7
H008634,117,Iran,,7
H008635,118,Israël,"Israël, Palestina. 
In de registers die het CBS gebruikt wordt Israël vanaf 1948 als land onderscheiden. 
Voor bevolkingscijfers geldt: 
Vanaf 2021: In de definitieve cijfers worden personen geboren in Israël of Palestina op basis van geboorteplaatsinformatie ofwel tot herkomstland Israël ofwel tot herkomstland Gazastrook en Westelijke Jordaanoever gerekend. 
Voor bevolkingsontwikkeling geldt: 
Vanaf 2020: In de definitieve cijfers worden personen geboren in Israël of Palestina op basis van geboorteplaatsinformatie ofwel tot herkomstland Israël ofwel tot herkomstland Gazastrook en Westelijke Jordaanoever gerekend.",7
H008636,119,Italië,,3
H008637,120,Ivoorkust,,5
H008638,121,Jamaica,"Jamaica, Britse Antillen, Brits Westindië, Windwardeilanden.",6
H008639,122,Japan,"Japan, Ryukyueilanden.",7
H008640,123,Jemen,"Jemen, Aden, Noord-Jemen, Zuidarabische Federatie, Zuid-Jemen.",7
H007072,124,Joegoslavië (oud),"Betreft het Joegoslavië van vóór de opsplitsing in 1991/'92. 
In de registers die het CBS gebruikt kwam dit land alleen tot de opsplitsing als actueel land voor. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die voor de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die voor de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden deze personen gerekend tot het herkomstland dat correspondeert met het land waar hun geboorteplaats volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die voor de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die voor de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden deze personen gerekend tot het herkomstland dat correspondeert met het land waar hun geboorteplaats volgens de huidige landgrenzen ligt.",3
H008643,125,Jordanië,"Jordanië, Transjordanië.",7
H008644,126,Kaapverdië,"Kaapverdië, Kaapverdische Eilanden.",5
