Id,Measure,ValueAttribute,Value,StringValue,Geboorteland,Geslacht,Herkomstland,Perioden
210480,M000167,None,1449.0,,T001638,T001038,H008723,2024MM09
210486,M000167,None,1163.0,,T001638,T001038,H008723,2024MM10
210492,M000167,None,991.0,,T001638,T001038,H008723,2024MM11
210498,M000167,None,523.0,,T001638,T001038,H008723,2024MM12
210510,M000167,None,942.0,,T001638,T001038,H008723,2025MM01
210516,M000167,None,887.0,,T001638,T001038,H008723,2025MM02
210522,M000167,None,1026.0,,T001638,T001038,H008723,2025MM03
210528,M000167,None,907.0,,T001638,T001038,H008723,2025MM04
210534,M000167,None,1155.0,,T001638,T001038,H008723,2025MM05
210540,M000167,None,952.0,,T001638,T001038,H008723,2025MM06
210546,M000167,None,968.0,,T001638,T001038,H008723,2025MM07
210552,M000167,None,1185.0,,T001638,T001038,H008723,2025MM08
210558,M000167,None,1357.0,,T001638,T001038,H008723,2025MM09
210564,M000167,None,1151.0,,T001638,T001038,H008723,2025MM10
210570,M000167,None,1042.0,,T001638,T001038,H008723,2025MM11
210576,M000167,None,677.0,,T001638,T001038,H008723,2025MM12
210588,M000167,None,896.0,,T001638,T001038,H008723,2026MM01
210594,M000167,None,1113.0,,T001638,T001038,H008723,2026MM02
210600,M000167,None,1079.0,,T001638,T001038,H008723,2026MM03
210606,M000167,None,1077.0,,T001638,T001038,H008723,2026MM04
210612,M000167,None,1096.0,,T001638,T001038,H008723,2026MM05
210618,M000167,None,1202.0,,T001638,T001038,H008723,2026MM06
210624,M000167,None,1046.0,,T001638,T001038,H008723,2026MM07
