Id,Measure,ValueAttribute,Value,StringValue,Generatie,Geslacht,Migratieachtergrond,Perioden
504630,M000167,None,350.0,,T001040,T001038,H008567,2008MM12
504642,M000167,None,357.0,,T001040,T001038,H008567,2009MM01
504648,M000167,None,373.0,,T001040,T001038,H008567,2009MM02
504654,M000167,None,391.0,,T001040,T001038,H008567,2009MM03
504660,M000167,None,323.0,,T001040,T001038,H008567,2009MM04
504666,M000167,None,264.0,,T001040,T001038,H008567,2009MM05
504672,M000167,None,312.0,,T001040,T001038,H008567,2009MM06
504678,M000167,None,297.0,,T001040,T001038,H008567,2009MM07
504684,M000167,None,350.0,,T001040,T001038,H008567,2009MM08
504690,M000167,None,661.0,,T001040,T001038,H008567,2009MM09
504696,M000167,None,399.0,,T001040,T001038,H008567,2009MM10
504702,M000167,None,334.0,,T001040,T001038,H008567,2009MM11
504708,M000167,None,247.0,,T001040,T001038,H008567,2009MM12
504720,M000167,None,341.0,,T001040,T001038,H008567,2010MM01
504726,M000167,None,327.0,,T001040,T001038,H008567,2010MM02
504732,M000167,None,365.0,,T001040,T001038,H008567,2010MM03
504738,M000167,None,259.0,,T001040,T001038,H008567,2010MM04
504744,M000167,None,205.0,,T001040,T001038,H008567,2010MM05
504750,M000167,None,242.0,,T001040,T001038,H008567,2010MM06
504756,M000167,None,271.0,,T001040,T001038,H008567,2010MM07
504762,M000167,None,365.0,,T001040,T001038,H008567,2010MM08
504768,M000167,None,674.0,,T001040,T001038,H008567,2010MM09
504774,M000167,None,426.0,,T001040,T001038,H008567,2010MM10
504780,M000167,None,435.0,,T001040,T001038,H008567,2010MM11
504786,M000167,None,346.0,,T001040,T001038,H008567,2010MM12
504798,M000167,None,342.0,,T001040,T001038,H008567,2011MM01
504804,M000167,None,391.0,,T001040,T001038,H008567,2011MM02
504810,M000167,None,416.0,,T001040,T001038,H008567,2011MM03
504816,M000167,None,318.0,,T001040,T001038,H008567,2011MM04
504822,M000167,None,417.0,,T001040,T001038,H008567,2011MM05
504828,M000167,None,315.0,,T001040,T001038,H008567,2011MM06
504834,M000167,None,308.0,,T001040,T001038,H008567,2011MM07
504840,M000167,None,522.0,,T001040,T001038,H008567,2011MM08
504846,M000167,None,755.0,,T001040,T001038,H008567,2011MM09
504852,M000167,None,562.0,,T001040,T001038,H008567,2011MM10
504858,M000167,None,504.0,,T001040,T001038,H008567,2011MM11
504864,M000167,None,464.0,,T001040,T001038,H008567,2011MM12
504876,M000167,None,389.0,,T001040,T001038,H008567,2012MM01
504882,M000167,None,445.0,,T001040,T001038,H008567,2012MM02
504888,M000167,None,612.0,,T001040,T001038,H008567,2012MM03
504894,M000167,None,269.0,,T001040,T001038,H008567,2012MM04
504900,M000167,None,267.0,,T001040,T001038,H008567,2012MM05
504906,M000167,None,305.0,,T001040,T001038,H008567,2012MM06
504912,M000167,None,226.0,,T001040,T001038,H008567,2012MM07
504918,M000167,None,491.0,,T001040,T001038,H008567,2012MM08
504924,M000167,None,754.0,,T001040,T001038,H008567,2012MM09
504930,M000167,None,457.0,,T001040,T001038,H008567,2012MM10
504936,M000167,None,414.0,,T001040,T001038,H008567,2012MM11
504942,M000167,None,319.0,,T001040,T001038,H008567,2012MM12
504954,M000167,None,358.0,,T001040,T001038,H008567,2013MM01
504960,M000167,None,483.0,,T001040,T001038,H008567,2013MM02
504966,M000167,None,548.0,,T001040,T001038,H008567,2013MM03
504972,M000167,None,484.0,,T001040,T001038,H008567,2013MM04
504978,M000167,None,339.0,,T001040,T001038,H008567,2013MM05
504984,M000167,None,231.0,,T001040,T001038,H008567,2013MM06
504990,M000167,None,210.0,,T001040,T001038,H008567,2013MM07
504996,M000167,None,423.0,,T001040,T001038,H008567,2013MM08
505002,M000167,None,564.0,,T001040,T001038,H008567,2013MM09
505008,M000167,None,313.0,,T001040,T001038,H008567,2013MM10
505014,M000167,None,252.0,,T001040,T001038,H008567,2013MM11
505020,M000167,None,247.0,,T001040,T001038,H008567,2013MM12
505032,M000167,None,516.0,,T001040,T001038,H008567,2014MM01
505038,M000167,None,479.0,,T001040,T001038,H008567,2014MM02
505044,M000167,None,388.0,,T001040,T001038,H008567,2014MM03
505050,M000167,None,463.0,,T001040,T001038,H008567,2014MM04
505056,M000167,None,324.0,,T001040,T001038,H008567,2014MM05
505062,M000167,None,307.0,,T001040,T001038,H008567,2014MM06
505068,M000167,None,268.0,,T001040,T001038,H008567,2014MM07
505074,M000167,None,448.0,,T001040,T001038,H008567,2014MM08
505080,M000167,None,708.0,,T001040,T001038,H008567,2014MM09
505086,M000167,None,488.0,,T001040,T001038,H008567,2014MM10
505092,M000167,None,327.0,,T001040,T001038,H008567,2014MM11
505098,M000167,None,331.0,,T001040,T001038,H008567,2014MM12
505110,M000167,None,315.0,,T001040,T001038,H008567,2015MM01
505116,M000167,None,353.0,,T001040,T001038,H008567,2015MM02
505122,M000167,None,368.0,,T001040,T001038,H008567,2015MM03
505128,M000167,None,323.0,,T001040,T001038,H008567,2015MM04
505134,M000167,None,262.0,,T001040,T001038,H008567,2015MM05
505140,M000167,None,310.0,,T001040,T001038,H008567,2015MM06
505146,M000167,None,318.0,,T001040,T001038,H008567,2015MM07
505152,M000167,None,453.0,,T001040,T001038,H008567,2015MM08
505158,M000167,None,782.0,,T001040,T001038,H008567,2015MM09
505164,M000167,None,487.0,,T001040,T001038,H008567,2015MM10
505170,M000167,None,400.0,,T001040,T001038,H008567,2015MM11
505176,M000167,None,331.0,,T001040,T001038,H008567,2015MM12
505188,M000167,None,348.0,,T001040,T001038,H008567,2016MM01
505194,M000167,None,406.0,,T001040,T001038,H008567,2016MM02
505200,M000167,None,392.0,,T001040,T001038,H008567,2016MM03
505206,M000167,None,276.0,,T001040,T001038,H008567,2016MM04
505212,M000167,None,303.0,,T001040,T001038,H008567,2016MM05
505218,M000167,None,329.0,,T001040,T001038,H008567,2016MM06
505224,M000167,None,291.0,,T001040,T001038,H008567,2016MM07
505230,M000167,None,525.0,,T001040,T001038,H008567,2016MM08
505236,M000167,None,708.0,,T001040,T001038,H008567,2016MM09
505242,M000167,None,450.0,,T001040,T001038,H008567,2016MM10
505248,M000167,None,435.0,,T001040,T001038,H008567,2016MM11
505254,M000167,None,346.0,,T001040,T001038,H008567,2016MM12
505266,M000167,None,405.0,,T001040,T001038,H008567,2017MM01
505272,M000167,None,416.0,,T001040,T001038,H008567,2017MM02
505278,M000167,None,363.0,,T001040,T001038,H008567,2017MM03
505284,M000167,None,371.0,,T001040,T001038,H008567,2017MM04
505290,M000167,None,376.0,,T001040,T001038,H008567,2017MM05
505296,M000167,None,421.0,,T001040,T001038,H008567,2017MM06
505302,M000167,None,327.0,,T001040,T001038,H008567,2017MM07
505308,M000167,None,643.0,,T001040,T001038,H008567,2017MM08
505314,M000167,None,858.0,,T001040,T001038,H008567,2017MM09
505320,M000167,None,602.0,,T001040,T001038,H008567,2017MM10
505326,M000167,None,565.0,,T001040,T001038,H008567,2017MM11
505332,M000167,None,398.0,,T001040,T001038,H008567,2017MM12
