freq,nace_r2_1,sizeclas,s_adj,indic_em,geo,time,value
Q,A-T,TOTAL,SA,JVR,NL,2013-Q4,1.2
Q,A-T,TOTAL,SA,JVR,NL,2014-Q1,1.3
Q,A-T,TOTAL,SA,JVR,NL,2014-Q2,1.4
Q,A-T,TOTAL,SA,JVR,NL,2014-Q3,1.5
Q,A-T,TOTAL,SA,JVR,NL,2014-Q4,1.5
Q,A-T,TOTAL,SA,JVR,NL,2015-Q1,1.6
Q,A-T,TOTAL,SA,JVR,NL,2015-Q2,1.7
Q,A-T,TOTAL,SA,JVR,NL,2015-Q3,1.7
Q,A-T,TOTAL,SA,JVR,NL,2015-Q4,1.8
Q,A-T,TOTAL,SA,JVR,NL,2016-Q1,1.9
Q,A-T,TOTAL,SA,JVR,NL,2016-Q2,1.9
Q,A-T,TOTAL,SA,JVR,NL,2016-Q3,2.0
Q,A-T,TOTAL,SA,JVR,NL,2016-Q4,2.1
Q,A-T,TOTAL,SA,JVR,NL,2017-Q1,2.3
Q,A-T,TOTAL,SA,JVR,NL,2017-Q2,2.5
Q,A-T,TOTAL,SA,JVR,NL,2017-Q3,2.6
Q,A-T,TOTAL,SA,JVR,NL,2017-Q4,2.7
Q,A-T,TOTAL,SA,JVR,NL,2018-Q1,2.8
Q,A-T,TOTAL,SA,JVR,NL,2018-Q2,2.9
Q,A-T,TOTAL,SA,JVR,NL,2018-Q3,3.0
Q,A-T,TOTAL,SA,JVR,NL,2018-Q4,3.1
Q,A-T,TOTAL,SA,JVR,NL,2019-Q1,3.2
Q,A-T,TOTAL,SA,JVR,NL,2019-Q2,3.2
Q,A-T,TOTAL,SA,JVR,NL,2019-Q3,3.2
Q,A-T,TOTAL,SA,JVR,NL,2019-Q4,3.2
Q,A-T,TOTAL,SA,JVR,NL,2020-Q1,2.5
Q,A-T,TOTAL,SA,JVR,NL,2020-Q2,2.4
Q,A-T,TOTAL,SA,JVR,NL,2020-Q3,2.5
Q,A-T,TOTAL,SA,JVR,NL,2020-Q4,2.6
Q,A-T,TOTAL,SA,JVR,NL,2021-Q1,2.9
Q,A-T,TOTAL,SA,JVR,NL,2021-Q2,3.7
Q,A-T,TOTAL,SA,JVR,NL,2021-Q3,4.1
Q,A-T,TOTAL,SA,JVR,NL,2021-Q4,4.3
Q,A-T,TOTAL,SA,JVR,NL,2022-Q1,4.9
Q,A-T,TOTAL,SA,JVR,NL,2022-Q2,5.0
Q,A-T,TOTAL,SA,JVR,NL,2022-Q3,4.8
Q,A-T,TOTAL,SA,JVR,NL,2022-Q4,4.7
Q,A-T,TOTAL,SA,JVR,NL,2023-Q1,4.6
